Name,From,To,Pos,Height,Weight,Birth Date,Colleges,Retired
Marcus Camby,1997,2013,C-F,6-11,220,"March 22, 1974",UMass,1
Facundo Campazzo,2021,2023,G,5-10,195,"March 23, 1991",,0
Elden Campbell,1991,2005,C,6-11,215,"July 23, 1968",Clemson,1
Tony Campbell,1985,1995,F-G,6-7,215,"May 7, 1962",Ohio State,1
Isaiah Canaan,2014,2019,G,6-0,201,"May 21, 1991",Murray State,1
Vlatko Čančar,2020,2025,F,6-8,236,"April 10, 1997",,0
Devin Cannady,2021,2022,G,6-2,183,"May 21, 1996",Princeton,0
Larry Cannon,1970,1974,G,6-4,195,"April 12, 1947",La Salle,1
Clint Capela,2015,2025,C,6-10,240,"May 18, 1994",,0
Derrick Caracter,2011,2011,F,6-9,275,"May 4, 1988","Louisville, Texas-El Paso",1
Frank Card,1969,1973,F,6-7,195,"December 28, 1944",South Carolina State,1
Brian Cardinal,2001,2012,F,6-8,245,"May 2, 1977",Purdue,1
Vernon Carey Jr.,2021,2023,C,6-9,270,"February 25, 2001",Duke,0
Howie Carl,1962,1962,G,5-9,160,"June 7, 1938",DePaul,1
Chet Carlisle,1947,1947,F-C,6-5,195,"November 2, 1916",California,1
Geno Carlisle,2005,2005,G,6-3,180,"August 13, 1976","Northwestern, California",1
Rick Carlisle,1985,1990,G,6-5,210,"October 27, 1959","University of Maine, Virginia",1
Don Carlos,1969,1969,G-F,6-5,210,"March 3, 1944",Otterbein College,1
Al Carlson,1976,1976,C,6-11,235,"September 17, 1951",Oregon,1
Branden Carlson,2025,2025,C,7-0,220,"June 14, 1999",Utah,0
Don Carlson,1947,1951,G-F,6-0,170,"March 22, 1919",Minnesota,1
Bob Carney,1955,1955,G,6-3,170,"August 3, 1932",Bradley,1
Rodney Carney,2007,2011,F,6-7,205,"April 15, 1984",Memphis,1
Bob Carpenter,1950,1951,F-C,6-5,200,"November 6, 1917",Texas A&M University-Commerce,1
Antoine Carr,1985,2000,F-C,6-9,225,"July 23, 1961",Wichita State,1
Austin Carr,1972,1981,G,6-4,200,"March 10, 1948",Notre Dame,1
Chris Carr,1996,2001,G,6-5,207,"March 12, 1974",Southern Illinois,1
Cory Carr,1999,1999,G,6-3,210,"December 5, 1975",Texas Tech,1
Kenny Carr,1978,1987,F,6-7,220,"August 15, 1955",NC State,1
M.L. Carr,1976,1985,F-G,6-6,205,"January 9, 1951",Guilford College,1
Darel Carrier,1968,1973,G,6-3,185,"October 26, 1940",Western Kentucky,1
Bob Carrington,1978,1980,G-F,6-6,195,"July 3, 1953",Boston College,1
Carlton Carrington,2025,2025,G,6-4,190,"July 21, 2005",Pitt,0
DeMarre Carroll,2010,2020,F,6-6,215,"July 27, 1986","Vanderbilt, Missouri",1
Joe Barry Carroll,1981,1991,C-F,7-0,225,"July 24, 1958",Purdue,1
Matt Carroll,2004,2013,G,6-6,212,"August 28, 1980",Notre Dame,1
Jimmy Carruth,1997,1997,C-F,6-10,265,"November 4, 1969",Virginia Tech,1
Anthony Carter,2000,2012,G,6-1,190,"June 16, 1975",Hawaii,1
Butch Carter,1981,1986,G,6-5,180,"June 11, 1958",Indiana,1
Fred Carter,1970,1977,G-F,6-3,185,"February 14, 1945",Mount St. Mary's University,1
George Carter,1968,1976,F-G,6-4,210,"January 10, 1944",St. Bonaventure,1
Howard Carter,1984,1985,G,6-5,215,"October 26, 1961",LSU,1
Jake Carter,1950,1950,F-C,6-4,195,"July 25, 1924",Texas A&M University-Commerce,1
Jevon Carter,2019,2025,G,6-1,200,"September 14, 1995",West Virginia,0
Maurice Carter,2004,2004,G,6-5,210,"October 12, 1976",LSU,1
Reggie Carter,1981,1982,G,6-3,175,"October 10, 1957","Hawaii, St. John's",1
Ron Carter,1979,1980,G,6-5,190,"August 31, 1956",Virginia Military Institute,1
Vince Carter,1999,2020,G-F,6-6,220,"January 26, 1977",UNC,1
Wendell Carter Jr.,2019,2025,C,6-10,270,"April 16, 1999",Duke,0
Michael Carter-Williams,2014,2023,G,6-5,190,"October 10, 1991",Syracuse,0
D.J. Carton,2024,2025,G,6-2,200,"August 5, 2000","Ohio State, Marquette",0
Bill Cartwright,1980,1995,C,7-1,245,"July 30, 1957",San Francisco,1
Jay Carty,1969,1969,F,6-8,220,"July 4, 1941",Oregon State,1
Alex Caruso,2018,2025,G,6-5,186,"February 28, 1994",Texas A&M,0
Cornelius Cash,1977,1977,F,6-8,215,"March 3, 1952",Bowling Green,1
Sam Cash,1973,1973,F,6-8,230,"November 13, 1950","San Bernardino Valley College, University of California, Riverside",1
Sam Cassell,1994,2008,G,6-3,185,"November 18, 1969",Florida State,1
Omri Casspi,2010,2019,F,6-9,225,"June 22, 1988",,1
Stephon Castle,2025,2025,G,6-6,215,"November 1, 2004",UConn,0
Colin Castleton,2024,2025,F,6-11,250,"May 25, 2000","Michigan, Florida",0
Harvey Catchings,1975,1985,C-F,6-9,218,"September 2, 1951",Hardin-Simmons University,1
Terry Catledge,1986,1993,F,6-8,220,"August 22, 1963",University of South Alabama,1
Sid Catlett,1972,1972,F,6-6,230,"April 18, 1948",Notre Dame,1
Kelvin Cato,1998,2007,C,6-11,255,"August 26, 1974","University of South Alabama, Iowa State",1
Bobby Cattage,1982,1986,F,6-9,250,"August 17, 1958",Auburn,1
Willie Cauley-Stein,2016,2022,F-C,7-0,240,"August 18, 1993",Kentucky,0
Troy Caupain,2019,2019,G,6-4,210,"November 29, 1995",Cincinnati,1
Duane Causwell,1991,2001,C,7-0,240,"May 31, 1968",Temple,1
Tyler Cavanaugh,2018,2019,F,6-9,238,"February 9, 1994",George Washington,1
Ron Cavenall,1985,1989,C,7-1,230,"April 30, 1959",Texas Southern,1
Ahmad Caver,2022,2022,G,6-2,175,"September 12, 1996",Old Dominion,0
Malcolm Cazalon,2024,2024,G,6-6,212,"August 27, 2001",,0
Cedric Ceballos,1991,2001,F,6-7,220,"August 2, 1969",Cal State Fullerton,1
John Celestand,2000,2000,G,6-4,178,"March 6, 1977",Villanova,1
Al Cervi,1950,1953,G-F,5-11,170,"February 12, 1917",,1
Lionel Chalmers,2005,2005,G,6-0,180,"November 10, 1980",Xavier,1
Mario Chalmers,2009,2018,G,6-2,190,"May 19, 1986",Kansas,1
Bill Chamberlain,1973,1974,F,6-6,188,"December 16, 1949",UNC,1
Wilt Chamberlain,1960,1973,C,7-1,275,"August 21, 1936",Kansas,1
Jerry Chambers,1967,1974,F,6-5,185,"July 18, 1943","Trinidad State Junior College, Utah",1
Tom Chambers,1982,1998,F-C,6-10,220,"June 21, 1959",Utah,1
Julian Champagnie,2023,2025,F,6-8,220,"June 29, 2001",St. John's,0
Justin Champagnie,2022,2025,F,6-6,200,"June 29, 2001",Pitt,0
Mike Champion,1989,1989,F,6-10,230,"April 5, 1964",Gonzaga,1
Kennedy Chandler,2023,2023,G,6-0,171,"September 16, 2002",Tennessee,0
Tyson Chandler,2002,2020,C,7-0,235,"October 2, 1982",,1
Wilson Chandler,2008,2020,F,6-8,235,"May 10, 1987",DePaul,1
Don Chaney,1969,1980,G,6-5,210,"March 22, 1946",Houston,1
John Chaney,1950,1950,F-C,6-3,185,"February 29, 1920",LSU,1
Rex Chapman,1989,2000,G,6-4,185,"October 5, 1967",Kentucky,1
Wayne Chapman,1969,1972,G-F,6-6,190,"June 15, 1945",Western Kentucky,1
Len Chappell,1963,1972,F-C,6-8,240,"January 31, 1941",Wake Forest,1
Ken Charles,1974,1978,G,6-3,180,"July 10, 1951",Fordham,1
Lorenzo Charles,1986,1986,F,6-7,225,"November 25, 1963",NC State,1
Joe Chealey,2019,2020,G,6-3,190,"November 1, 1995",College of Charleston,1
Calbert Cheaney,1994,2006,G-F,6-7,209,"July 17, 1971",Indiana,1
Zylan Cheatham,2020,2022,F,6-5,220,"November 17, 1995","San Diego State, Arizona State",0
Maurice Cheeks,1979,1993,G,6-1,180,"September 8, 1956",West Texas A&M University,1
Phil Chenier,1972,1981,G,6-3,180,"October 30, 1950",California,1
Will Cherry,2015,2015,G,6-0,185,"February 8, 1991",Montana,1
Derrick Chievous,1989,1991,F,6-7,195,"July 3, 1967",Missouri,1
Pete Chilcutt,1992,2000,F-C,6-10,230,"September 14, 1968",UNC,1
Josh Childress,2005,2014,G-F,6-8,210,"June 20, 1983",Stanford,1
Randolph Childress,1996,1997,G,6-2,188,"September 21, 1972",Wake Forest,1
Chris Childs,1995,2003,G,6-3,195,"November 20, 1967",Boise State,1
Chris Chiozza,2019,2022,G,5-11,175,"November 21, 1995",Florida,0
Leroy Chollet,1950,1951,F,6-2,190,"March 5, 1925",Canisius,1
Ulrich Chomche,2025,2025,F-C,6-10,235,"December 30, 2005",,0
Jim Chones,1973,1982,C-F,6-11,220,"November 30, 1949",Marquette,1
Marquese Chriss,2017,2022,F,6-9,240,"July 2, 1997",Washington,0
Fred Christ,1955,1955,G,6-4,210,"August 6, 1930",Fordham,1
Cal Christensen,1951,1955,F-C,6-5,210,"June 6, 1927",Toledo,1
Bob Christian,1970,1974,C,6-10,255,"May 11, 1946",Grambling State University,1
Cam Christie,2025,2025,G,6-5,190,"July 24, 2005",Minnesota,0
Doug Christie,1993,2007,G-F,6-6,200,"May 9, 1970",Pepperdine,1
Max Christie,2023,2025,G,6-6,190,"February 10, 2003",Michigan State,0
Dionte Christmas,2014,2014,G,6-5,205,"September 15, 1986",Temple,1
Rakeem Christmas,2016,2017,F,6-9,250,"December 1, 1991",Syracuse,1
Semaj Christon,2017,2017,G,6-3,190,"November 1, 1992",Xavier,1
Josh Christopher,2022,2025,G,6-5,215,"December 8, 2001",Arizona State,0
Patrick Christopher,2015,2015,G-F,6-5,209,"June 3, 1988",California,1
Steve Chubin,1968,1970,G,6-2,200,"February 8, 1944",Rhode Island,1
Robert Churchwell,1996,1996,G-F,6-6,195,"February 20, 1972",Georgetown,1
Sidy Cissoko,2024,2025,G,6-8,200,"April 2, 2004",,0
Archie Clark,1967,1976,G,6-2,175,"July 15, 1941",Minnesota,1
Carlos Clark,1984,1985,G,6-4,210,"August 10, 1960",Ole Miss,1
Dick Clark,1968,1969,G,6-4,190,"January 5, 1944",Eastern Kentucky University,1
Earl Clark,2010,2015,F,6-10,225,"January 17, 1988",Louisville,1
Gary Clark,2019,2022,F,6-6,225,"November 16, 1994",Cincinnati,0
Ian Clark,2014,2019,G,6-3,175,"March 7, 1991",Belmont,1
Keon Clark,1999,2004,F-C,6-11,220,"April 16, 1975","Irvine Valley College, Dixie State (UT), UNLV",1
Brandon Clarke,2020,2025,F,6-8,215,"September 19, 1996","San Jose State, Gonzaga",0
Coty Clarke,2016,2016,F,6-7,232,"July 4, 1992",Arkansas,1
Jordan Clarkson,2015,2025,G,6-3,194,"June 7, 1992","Tulsa, Missouri",0
Gian Clavell,2018,2018,G,6-4,185,"November 26, 1993",Colorado State,1
Victor Claver,2013,2015,F,6-9,224,"August 30, 1988",,1
John Clawson,1969,1969,F,6-4,200,"May 15, 1944",Michigan,1
Charles Claxton,1996,1996,C,7-0,265,"December 13, 1970",Georgia,1
Nic Claxton,2020,2025,C,6-11,215,"April 17, 1999",Georgia,0
Speedy Claxton,2002,2009,G,5-11,166,"May 8, 1978",Hofstra,1
Jim Cleamons,1972,1980,G,6-3,185,"September 13, 1949",Ohio State,1
Mateen Cleaves,2001,2006,G,6-2,205,"September 7, 1977",Michigan State,1
Barry Clemens,1966,1976,F,6-6,210,"May 1, 1943",Ohio Wesleyan University,1
Chris Clemons,2020,2020,G,5-9,180,"July 23, 1997",Campbell,0
Antonius Cleveland,2018,2020,G,6-5,195,"February 2, 1994",SE Missouri State,1
Nat Clifton,1951,1958,C-F,6-6,220,"October 13, 1922",Xavier University of Louisiana,1
Donovan Clingan,2025,2025,C,7-2,280,"February 23, 2004",UConn,0
Bill Closs,1950,1952,F-C,6-5,195,"January 8, 1922",Rice University,1
Keith Closs,1998,2000,C,7-3,212,"April 3, 1976",Central Connecticut State University,1
Noah Clowney,2024,2025,F,6-10,210,"July 14, 2004",Alabama,0
Paul Cloyd,1950,1950,G-F,6-2,180,"June 13, 1920",Wisconsin,1
Bob Cluggish,1947,1947,C,6-10,235,"September 18, 1917",Kentucky,1
Ben Clyde,1975,1975,F,6-7,198,"June 10, 1952",Florida State,1
Amir Coffey,2020,2025,G,6-7,210,"June 17, 1997",Minnesota,0
Richard Coffey,1991,1991,F,6-6,212,"September 2, 1965",Minnesota,1
Fred Cofield,1986,1987,G,6-3,190,"January 4, 1962","Oregon, Eastern Michigan",1
John Coker,1996,2001,C,7-0,253,"October 28, 1971",Boise State,1
Norris Cole,2012,2017,G,6-2,175,"October 13, 1988",Cleveland State University,1
Ben Coleman,1987,1994,F,6-9,235,"November 14, 1961","Minnesota, Maryland",1
Derrick Coleman,1991,2005,F-C,6-10,230,"June 21, 1967",Syracuse,1
E.C. Coleman,1974,1979,F,6-8,225,"September 25, 1950",Houston Baptist University,1
Jack Coleman,1950,1958,F-C,6-7,195,"May 23, 1924",Louisville,1
Norris Coleman,1988,1988,F,6-8,210,"September 27, 1961",Kansas State,1
Bimbo Coles,1991,2004,G,6-1,180,"April 22, 1968",Virginia Tech,1
Isaiah Collier,2025,2025,G,6-3,210,"October 8, 2004",USC,0
Jason Collier,2001,2005,C,7-0,260,"September 8, 1977","Indiana, Georgia Tech",1
Art Collins,1981,1981,G,6-4,185,"April 14, 1954",St. Thomas University,1
Don Collins,1981,1987,F-G,6-6,190,"November 28, 1958",Washington State,1
Doug Collins,1974,1981,G-F,6-6,180,"July 28, 1951",Illinois State,1
James Collins,1998,1998,G,6-4,196,"November 5, 1973",Florida State,1
Jarron Collins,2002,2011,F-C,6-11,255,"December 2, 1978",Stanford,1
Jason Collins,2002,2014,C,7-0,255,"December 2, 1978",Stanford,1
Jimmy Collins,1971,1972,G,6-2,175,"November 24, 1946",New Mexico State,1
John Collins,2018,2025,F,6-9,235,"September 23, 1997",Wake Forest,0
Mardy Collins,2007,2010,G,6-6,220,"August 4, 1984",Temple,1
Sherron Collins,2011,2011,G,5-11,205,"March 18, 1987",Kansas,1
Zach Collins,2018,2025,C-F,6-11,250,"November 19, 1997",Gonzaga,0
Kyle Collinsworth,2018,2018,G-F,6-6,210,"October 3, 1991",BYU,1
Darren Collison,2010,2022,G,6-0,175,"August 23, 1987",UCLA,1
Nick Collison,2005,2018,F,6-10,255,"October 26, 1980",Kansas,1
Joe Colone,1949,1949,F,6-5,210,"January 23, 1924",Bloomsburg University of Pennsylvania,1
Bonzie Colson,2019,2019,F,6-6,224,"January 12, 1996",Notre Dame,1
Sean Colson,2001,2001,G,6-0,175,"July 1, 1975","Rhode Island, UNC Charlotte",1
Steve Colter,1985,1995,G,6-3,165,"July 24, 1962",New Mexico State,1
Chance Comanche,2023,2023,F-C,6-10,210,"April 14, 1996",Arizona,0
Glen Combs,1969,1975,G,6-2,185,"October 30, 1946",Virginia Tech,1
Leroy Combs,1984,1984,F,6-8,210,"January 1, 1961",Oklahoma State,1
John Comeaux,1968,1968,F,6-5,193,"September 15, 1943",Grambling State University,1
Dallas Comegys,1988,1989,F,6-9,205,"August 17, 1964",DePaul,1
Larry Comley,1964,1964,G,6-5,210,"August 17, 1939",Kansas State,1
Jeff Congdon,1968,1972,G,6-1,180,"October 17, 1943",BYU,1
Gene Conley,1953,1964,C-F,6-8,225,"November 10, 1930",Washington State,1
Larry Conley,1968,1968,G,6-3,175,"January 22, 1944",Kentucky,1
Mike Conley,2008,2025,G,6-0,175,"October 11, 1987",Ohio State,0
Ed Conlin,1956,1962,F-G,6-5,200,"September 2, 1933",Fordham,1
Marty Conlon,1992,2000,F-C,6-10,224,"January 19, 1968",Providence,1
Pat Connaughton,2016,2025,G,6-5,209,"January 6, 1993",Notre Dame,0
Jimmy Conner,1976,1976,G,6-4,190,"March 20, 1953",Kentucky,1
Lester Conner,1983,1995,G,6-4,180,"September 17, 1959",Oregon State,1
Chuck Connors,1947,1948,F-C,6-5,190,"April 10, 1921",Seton Hall,1
Will Conroy,2007,2013,G,6-2,195,"December 8, 1982",Washington,1
Anthony Cook,1991,1996,F-C,6-9,205,"March 19, 1967",Arizona,1
Bert Cook,1955,1955,G-F,6-3,185,"April 26, 1929",Utah State University,1
Bobby Cook,1950,1950,G-F,5-10,155,"April 1, 1923",Wisconsin,1
Brian Cook,2004,2012,F,6-9,234,"December 4, 1980",Illinois,1
Daequan Cook,2008,2013,G,6-5,205,"April 28, 1987",Ohio State,1
Darwin Cook,1981,1989,G,6-3,184,"August 6, 1958",University of Portland,1
Jeff Cook,1980,1988,F-C,6-10,215,"October 21, 1956",Idaho State University,1
Norm Cook,1977,1978,F,6-8,210,"March 21, 1955",Kansas,1
Omar Cook,2004,2005,G,6-1,190,"January 28, 1982",St. John's,1
Quinn Cook,2017,2021,G,6-1,180,"March 23, 1993",Duke,1
Tyler Cook,2020,2022,F,6-8,255,"September 23, 1997",Iowa,0
Charles Cooke,2018,2018,G,6-5,196,"July 1, 1994",Dayton,1
David Cooke,1986,1986,F,6-8,230,"September 27, 1963",Saint Mary's,1
Joe Cooke,1971,1971,G,6-3,175,"August 14, 1948",Indiana,1
Xavier Cooks,2023,2023,F,6-8,183,"August 19, 1995",Winthrop University,0
Jack Cooley,2015,2018,F-C,6-9,260,"April 12, 1991",Notre Dame,1
Chuck Cooper,1951,1956,F,6-5,210,"September 29, 1926",Duquesne,1
Duane Cooper,1993,1994,G,6-1,185,"June 25, 1969",USC,1
Joe Cooper,1982,1985,C-F,6-10,230,"September 1, 1957","Howard College, Tulsa, Colorado",1
Michael Cooper,1979,1990,G-F,6-7,170,"April 15, 1956",New Mexico,1
Sharife Cooper,2022,2022,G,6-1,180,"June 11, 2001",Auburn,0
Wayne Cooper,1979,1992,C-F,6-10,220,"November 16, 1956",New Orleans,1
Tom Copa,1992,1992,C,6-10,275,"October 30, 1964",Marquette,1
Chris Copeland,2013,2016,F,6-9,239,"March 17, 1984",Colorado,1
Hollis Copeland,1980,1982,F,6-6,180,"December 20, 1955",Rutgers University,1
Lanard Copeland,1990,1992,G,6-6,190,"July 16, 1965",Georgia State University,1
Tyrone Corbin,1986,2001,G-F,6-6,210,"December 31, 1962",DePaul,1
Chris Corchiani,1992,1994,G,6-0,185,"March 28, 1968",NC State,1
Ken Corley,1947,1947,C,6-5,210,"May 10, 1920",University of Central Oklahoma,1
Ray Corley,1950,1953,G,6-0,180,"January 14, 1928",Georgetown,1
Petr Cornelie,2022,2022,F,6-11,220,"July 26, 1995",,1
Dave Corzine,1979,1991,C,6-11,250,"April 25, 1956",DePaul,1
Larry Costello,1955,1968,G,6-1,186,"July 2, 1931",Niagara University,1
Matt Costello,2018,2018,F,6-9,245,"August 5, 1993",Michigan State,1
Bryce Cotton,2015,2016,G,6-1,165,"August 11, 1992",Providence,1
Jack Cotton,1950,1950,F-C,6-7,200,"October 25, 1924",Wyoming,1
James Cotton,1998,1999,G,6-5,220,"December 14, 1975",Cal State Long Beach,1
John Coughran,1980,1980,F,6-7,225,"September 12, 1951",California,1
Bilal Coulibaly,2024,2025,F,6-6,195,"July 26, 2004",,0
Ricky Council IV,2024,2025,G,6-6,205,"August 3, 2001","Wichita State, Arkansas",0
Mel Counts,1965,1976,C-F,7-0,230,"October 16, 1941",Oregon State,1
Steve Courtin,1965,1965,G,6-1,188,"September 21, 1942",Saint Joseph's,1
Joe Courtney,1993,1997,F,6-8,235,"October 17, 1969","Mississippi State, Southern Miss",1
Marcus Cousin,2011,2011,C,6-11,245,"December 18, 1986","Seton Hall, Houston",1
DeMarcus Cousins,2011,2022,C-F,6-10,270,"August 13, 1990",Kentucky,1
Bob Cousy,1951,1970,G,6-1,175,"August 9, 1928",Holy Cross,1
Robert Covington,2014,2024,F-C,6-7,209,"December 14, 1990",Tennessee State,0
Dave Cowens,1971,1983,C-F,6-9,230,"October 25, 1948",Florida State,1
Chubby Cox,1983,1983,G,6-2,180,"December 29, 1955","Villanova, San Francisco",1
Johnny Cox,1963,1963,G,6-4,180,"November 1, 1936",Kentucky,1
Wesley Cox,1978,1979,F,6-6,215,"January 27, 1955",Louisville,1
Allen Crabbe,2014,2020,G-F,6-5,212,"April 9, 1992",California,0
Torrey Craig,2018,2025,G-F,6-7,221,"December 19, 1990",USC Upstate,0
Chris Crawford,1998,2004,F,6-9,235,"May 13, 1975",Marquette,1
Freddie Crawford,1967,1971,G-F,6-4,189,"December 23, 1941",St. Bonaventure,1
Isaiah Crawford,2025,2025,F,6-6,220,"November 1, 2001",Louisiana Tech,0
Jamal Crawford,2001,2020,G,6-5,185,"March 20, 1980",Michigan,1
Joe Crawford,2009,2009,F,6-5,210,"June 17, 1986",Kentucky,1
Jordan Crawford,2011,2018,G,6-4,195,"October 23, 1988","Indiana, Xavier",1
Mitch Creek,2019,2019,G,6-5,216,"April 27, 1992",,1
Jim Creighton,1976,1976,F,6-8,200,"April 18, 1950",Colorado,1
Ron Crevier,1986,1986,C,7-0,235,"April 14, 1958",Boston College,1
Hal Crisler,1947,1947,F,6-3,215,"December 31, 1923",Iowa State,1
Joe Crispin,2002,2002,G,6-0,185,"July 18, 1979",Penn State,1
Charlie Criss,1978,1985,G,5-8,165,"November 6, 1948",New Mexico State,1
Russ Critchfield,1969,1969,G,5-10,150,"June 27, 1946",California,1
Winston Crite,1988,1989,F,6-7,233,"June 20, 1965",Texas A&M,1
Javaris Crittenton,2008,2009,G,6-5,200,"December 31, 1987",Georgia Tech,1
Dillard Crocker,1949,1953,F-G,6-4,205,"January 19, 1925",Western Michigan,1
Bobby Croft,1971,1971,C,6-10,200,"March 17, 1946",Tennessee,1
Geoff Crompton,1979,1984,C,6-11,280,"July 4, 1955",UNC,1
Terry Crosby,1980,1980,G,6-4,195,"January 4, 1957",Tennessee,1
Austin Croshere,1998,2009,F,6-9,235,"May 1, 1975",Providence,1
Jeff Cross,1986,1986,F,6-10,240,"September 1, 1961",University of Maine,1
Pete Cross,1971,1973,C-F,6-9,230,"March 28, 1948",San Francisco,1
Russell Cross,1984,1984,C,6-10,215,"September 5, 1961",Purdue,1
Chink Crossin,1948,1950,G,6-1,165,"July 4, 1923",Penn,1
John Crotty,1993,2003,G,6-1,185,"July 15, 1969",Virginia,1
Bill Crow,1968,1968,G,6-1,180,"December 9, 1940","Cerritos College, BYU, Westminster College of Utah",1
Mark Crow,1978,1978,F,6-7,210,"October 22, 1954",Duke,1
Corey Crowder,1992,1995,G-F,6-5,214,"April 13, 1969",Kentucky Wesleyan College,1
Jae Crowder,2013,2025,F,6-6,235,"July 6, 1990",Marquette,0
Jalen Crutcher,2024,2024,G,6-2,175,"July 18, 1999",Dayton,0
Al Cueto,1970,1971,C-F,6-7,230,"August 2, 1946","St. Gregory's University, Tulsa",1
Cui Yongxi,2025,2025,G,6-6,190,"May 28, 2003",,0
Jarrett Culver,2020,2023,G,6-6,195,"February 20, 1999",Texas Tech,0
Jarron Cumberland,2022,2022,G,6-5,205,"September 22, 1997",Cincinnati,1
Pat Cummings,1980,1991,F-C,6-9,230,"July 11, 1956",Cincinnati,1
Terry Cummings,1983,2000,F,6-9,220,"March 15, 1961",DePaul,1
Vonteego Cummings,2000,2002,G,6-3,185,"February 29, 1976",Pitt,1
Billy Cunningham,1966,1976,F-C,6-6,210,"June 3, 1943",UNC,1
Cade Cunningham,2022,2025,G,6-6,220,"September 25, 2001",Oklahoma State,0
Dante Cunningham,2010,2019,F,6-8,230,"April 22, 1987",Villanova,1
Dick Cunningham,1969,1975,C,6-10,245,"July 11, 1946",Murray State,1
Jared Cunningham,2013,2016,G,6-4,195,"May 22, 1991",Oregon State,1
William Cunningham,1998,1999,C,6-11,250,"March 25, 1974",Temple,1
Radisav Ćurčić,1993,1993,C,6-10,275,"September 26, 1965",,1
Armand Cure,1947,1947,F,6-0,198,"August 1, 1919",Rhode Island,1
Earl Cureton,1981,1997,F-C,6-9,210,"September 3, 1957","Robert Morris University (PA), Detroit Mercy",1
Bill Curley,1995,2001,F,6-9,220,"May 29, 1972",Boston College,1
Fran Curran,1949,1950,G,6-0,175,"September 9, 1922",Notre Dame,1
Dell Curry,1987,2002,G,6-4,190,"June 25, 1964",Virginia Tech,1
Eddy Curry,2002,2013,C,7-0,295,"December 5, 1982",,1
JamesOn Curry,2010,2010,G,6-3,190,"January 7, 1986",Oklahoma State,1
Michael Curry,1994,2005,F-G,6-5,210,"August 22, 1968",Georgia Southern University,1
Seth Curry,2014,2025,G,6-1,185,"August 23, 1990","Liberty, Duke",0
Stephen Curry,2010,2025,G,6-2,185,"March 14, 1988",Davidson,0
Rastko Cvetković,1996,1996,C,7-1,260,"June 22, 1970",,1
Mike D'Antoni,1974,1977,G,6-3,185,"May 8, 1951",Marshall,1
Tristan Da Silva,2025,2025,F,6-8,217,"May 15, 2001",Colorado,0
Mike Dabich,1968,1968,C,7-0,242,"December 27, 1942",New Mexico State,1
Pacome Dadiet,2025,2025,F,6-7,210,"July 27, 2005",,0
Ed Dahler,1952,1952,F,6-5,190,"January 31, 1926",Duquesne,1
Quintin Dailey,1983,1992,G,6-3,180,"January 22, 1961",San Francisco,1
Samuel Dalembert,2002,2015,C,6-11,255,"May 10, 1981",Seton Hall,1
Howie Dallmar,1947,1949,F,6-4,200,"May 24, 1922",Stanford,1
Erick Dampier,1997,2012,C,6-11,265,"July 14, 1975",Mississippi State,1
Louie Dampier,1968,1979,G,6-0,170,"November 20, 1944",Kentucky,1
Bob Dandridge,1970,1982,F-G,6-6,195,"November 15, 1947",Norfolk State,1
Antonio Daniels,1998,2011,G,6-4,195,"March 19, 1975",Bowling Green,1
Dyson Daniels,2023,2025,G,6-8,199,"March 17, 2003",,0
Erik Daniels,2005,2005,F,6-8,214,"April 1, 1982",Kentucky,1
Lloyd Daniels,1993,1998,G,6-7,205,"September 4, 1967",Mount San Antonio College,1
Marquis Daniels,2004,2013,G-F,6-6,200,"January 7, 1981",Auburn,1
Mel Daniels,1968,1977,C,6-9,220,"July 20, 1944","Southeastern Iowa Community College, West Burlington Campus, New Mexico",1
Troy Daniels,2014,2020,G,6-4,200,"July 15, 1991",VCU,1
Sasha Danilović,1996,1997,G,6-5,200,"February 26, 1970",,1
Adrian Dantley,1977,1991,F-G,6-5,208,"February 28, 1955",Notre Dame,1
Pete Darcey,1953,1953,C,6-7,217,"March 3, 1930",Oklahoma State,1
Jimmy Darden,1950,1950,G,6-1,170,"June 19, 1922",Denver,1
Ollie Darden,1968,1970,F-C,6-7,235,"July 28, 1944",Michigan,1
Yinka Dare,1995,1998,C,7-0,265,"October 10, 1972",George Washington,1
Jesse Dark,1975,1975,G,6-5,210,"September 2, 1951",VCU,1
Nate Darling,2021,2021,G,6-6,200,"August 30, 1998","UAB, University of Delaware",0
Rick Darnell,1976,1976,C-F,6-10,215,"January 1, 1953","Cypress College, Indiana State University, San Jose State",1
Jimmy Darrow,1962,1962,G,5-10,170,"September 25, 1937",Bowling Green,1
Gigi Datome,2014,2015,F,6-8,215,"November 27, 1987",,1
Brad Daugherty,1987,1994,C,7-0,245,"October 19, 1965",UNC,1
Mack Daughtry,1971,1971,G,6-3,175,"July 20, 1946",Albany State University,1
Kornél Dávid,1999,2001,F,6-9,235,"October 22, 1971",,1
Jermareo Davidson,2008,2009,F,6-10,230,"November 15, 1984",Alabama,1
Bob Davies,1949,1955,G-F,6-1,175,"January 15, 1920",Seton Hall,1
Brandon Davies,2014,2015,F,6-10,240,"July 25, 1991",BYU,1
Anthony Davis,2013,2025,F-C,6-10,253,"March 11, 1993",Kentucky,0
Antonio Davis,1994,2006,F-C,6-9,215,"October 31, 1968",Texas-El Paso,1
Aubrey Davis,1947,1947,G-F,6-2,175,"March 28, 1921",Oklahoma Baptist University,1
Baron Davis,2000,2012,G,6-3,209,"April 13, 1979",UCLA,1
