Player,#,Pos,Height,Weight,Birthdate,Age,Exp,School,How Acquired,Team Name,Player Link,Season
Jarrett Allen,#31,C,6-11,243 lbs,"APR 21, 1998",23,3,Texas,Traded from BKN on 01/16/21,CLEVELAND CAVALIERS,https://www.nba.com/stats/player/1628386/,2020-21
Dean Wade,#32,F-C,6-9,228 lbs,"NOV 20, 1996",24,1,Kansas State,Signed on 07/01/19,CLEVELAND CAVALIERS,https://www.nba.com/stats/player/1629731/,2020-21
Brodric Thomas,#33,G,6-5,185 lbs,"JAN 28, 1997",24,R,Truman State,,CLEVELAND CAVALIERS,https://www.nba.com/stats/player/1630271/,2020-21
Isaac Okoro,#35,F-G,6-5,225 lbs,"JAN 26, 2001",20,R,Auburn,#5 Pick in 2020 Draft,CLEVELAND CAVALIERS,https://www.nba.com/stats/player/1630171/,2020-21
Isaiah Hartenstein,#55,C-F,7-0,250 lbs,"MAY 05, 1998",23,2,Zalgiris,,CLEVELAND CAVALIERS,https://www.nba.com/stats/player/1628392/,2020-21
Jalen Duren,#0,C,6-10,250 lbs,"NOV 18, 2003",21,2,Memphis,Draft Rights Traded from NYK on 07/06/22,DETROIT PISTONS,https://www.nba.com/stats/player/1631105/,2024-25
Ronald Holland II,#00,F,6-8,206 lbs,"JUL 07, 2005",19,R,NBA G League Ignite,#5 Pick in 2024 Draft,DETROIT PISTONS,https://www.nba.com/stats/player/1641842/,2024-25
Cade Cunningham,#2,G,6-6,220 lbs,"SEP 25, 2001",23,3,Oklahoma State,#1 Pick in 2021 Draft,DETROIT PISTONS,https://www.nba.com/stats/player/1630595/,2024-25
Malik Beasley,#5,G,6-4,187 lbs,"NOV 26, 1996",28,8,Florida State,Signed on 07/11/24,DETROIT PISTONS,https://www.nba.com/stats/player/1627736/,2024-25
Paul Reed,#7,F,6-9,210 lbs,"JUN 14, 1999",25,4,DePaul,Awarded on Waivers on 07/09/24,DETROIT PISTONS,https://www.nba.com/stats/player/1630194/,2024-25
Tim Hardaway Jr.,#8,G-F,6-5,205 lbs,"MAR 16, 1992",32,11,Michigan,Traded from DAL on 07/06/24,DETROIT PISTONS,https://www.nba.com/stats/player/203501/,2024-25
Ausar Thompson,#9,G-F,6-6,205 lbs,"JAN 30, 2003",21,1,Overtime Elite,#5 Pick in 2023 Draft,DETROIT PISTONS,https://www.nba.com/stats/player/1641709/,2024-25
Tobias Harris,#12,F,6-8,226 lbs,"JUL 15, 1992",32,13,Tennessee,Signed on 07/08/24,DETROIT PISTONS,https://www.nba.com/stats/player/202699/,2024-25
Cole Swider,#13,F,6-8,220 lbs,"MAY 08, 1999",25,2,Syracuse,Signed on 10/21/24,DETROIT PISTONS,https://www.nba.com/stats/player/1631306/,2024-25
Wendell Moore Jr.,#14,G,6-5,215 lbs,"SEP 18, 2001",23,2,Duke,Traded from MIN on 07/06/24,DETROIT PISTONS,https://www.nba.com/stats/player/1631111/,2024-25
Simone Fontecchio,#19,F,6-7,209 lbs,"DEC 09, 1995",29,2,Baskonia,Traded from UTA on 02/08/24,DETROIT PISTONS,https://www.nba.com/stats/player/1631323/,2024-25
Jaden Ivey,#23,G,6-4,195 lbs,"FEB 13, 2002",22,2,Purdue,#5 Pick in 2022 Draft,DETROIT PISTONS,https://www.nba.com/stats/player/1631093/,2024-25
Daniss Jenkins,#24,G,6-3,165 lbs,"AUG 17, 2001",23,R,St. John's,Signed on 07/06/24,DETROIT PISTONS,https://www.nba.com/stats/player/1642450/,2024-25
Marcus Sasser,#25,G,6-2,195 lbs,"SEP 21, 2000",24,1,Houston,Draft Rights Traded from BOS on 06/28/23,DETROIT PISTONS,https://www.nba.com/stats/player/1631204/,2024-25
Isaiah Stewart,#28,F-C,6-8,250 lbs,"MAY 22, 2001",23,4,Washington,Draft Rights Traded from HOU on 11/24/20,DETROIT PISTONS,https://www.nba.com/stats/player/1630191/,2024-25
Alondes Williams,#31,G,6-4,210 lbs,"JUN 19, 1999",25,2,Wake Forest,Signed on 10/22/24,DETROIT PISTONS,https://www.nba.com/stats/player/1631214/,2024-25
Bobi Klintman,#34,F,6-9,225 lbs,"MAR 06, 2003",21,R,Cairns,Draft Rights Traded from MIN on 07/06/24,DETROIT PISTONS,https://www.nba.com/stats/player/1641752/,2024-25
Jalen Duren,#0,C,6-10,250 lbs,"NOV 18, 2003",20,1,Memphis,Draft Rights Traded from NYK on 07/06/22,DETROIT PISTONS,https://www.nba.com/stats/player/1631105/,2023-24
Cade Cunningham,#2,G,6-6,220 lbs,"SEP 25, 2001",22,2,Oklahoma State,#1 Pick in 2021 Draft,DETROIT PISTONS,https://www.nba.com/stats/player/1630595/,2023-24
Chimezie Metu,#4,F-C,6-10,225 lbs,"MAR 22, 1997",27,5,USC,,DETROIT PISTONS,https://www.nba.com/stats/player/1629002/,2023-24
Troy Brown Jr.,#7,G-F,6-7,215 lbs,"JUL 28, 1999",24,5,Oregon,,DETROIT PISTONS,https://www.nba.com/stats/player/1628972/,2023-24
Jared Rhoden,#8,G,6-5,210 lbs,"AUG 27, 1999",24,1,Seton Hall,,DETROIT PISTONS,https://www.nba.com/stats/player/1631197/,2023-24
Ausar Thompson,#9,G-F,6-6,205 lbs,"JAN 30, 2003",21,R,Overtime Elite,#5 Pick in 2023 Draft,DETROIT PISTONS,https://www.nba.com/stats/player/1641709/,2023-24
James Wiseman,#13,C,6-11,240 lbs,"MAR 31, 2001",23,2,Memphis,,DETROIT PISTONS,https://www.nba.com/stats/player/1630164/,2023-24
Stanley Umude,#17,G,6-6,210 lbs,"APR 12, 1999",25,1,Arkansas,,DETROIT PISTONS,https://www.nba.com/stats/player/1630649/,2023-24
Malachi Flynn,#18,G,6-1,185 lbs,"MAY 09, 1998",26,3,San Diego State,,DETROIT PISTONS,https://www.nba.com/stats/player/1630201/,2023-24
Tosan Evbuomwan,#18,F,6-7,217 lbs,"FEB 16, 2001",23,R,Princeton,,DETROIT PISTONS,https://www.nba.com/stats/player/1641787/,2023-24
Simone Fontecchio,#19,F,6-7,209 lbs,"DEC 09, 1995",28,1,Baskonia,Traded from UTA on 02/08/24,DETROIT PISTONS,https://www.nba.com/stats/player/1631323/,2023-24
Jaden Ivey,#23,G,6-4,195 lbs,"FEB 13, 2002",22,1,Purdue,#5 Pick in 2022 Draft,DETROIT PISTONS,https://www.nba.com/stats/player/1631093/,2023-24
Quentin Grimes,#24,G,6-5,210 lbs,"MAY 08, 2000",24,2,Houston,,DETROIT PISTONS,https://www.nba.com/stats/player/1629656/,2023-24
Marcus Sasser,#25,G,6-2,195 lbs,"SEP 21, 2000",23,R,Houston,Draft Rights Traded from BOS on 06/28/23,DETROIT PISTONS,https://www.nba.com/stats/player/1631204/,2023-24
Buddy Boeheim,#27,F,6-5,205 lbs,"NOV 11, 1999",24,1,Syracuse,,DETROIT PISTONS,https://www.nba.com/stats/player/1631205/,2023-24
Isaiah Stewart,#28,F-C,6-8,250 lbs,"MAY 22, 2001",23,3,Washington,Draft Rights Traded from HOU on 11/24/20,DETROIT PISTONS,https://www.nba.com/stats/player/1630191/,2023-24
Evan Fournier,#31,G-F,6-6,205 lbs,"OCT 29, 1992",31,11,Poitiers Basket 86,,DETROIT PISTONS,https://www.nba.com/stats/player/203095/,2023-24
Taj Gibson,#67,F,6-9,232 lbs,"JUN 24, 1985",39,14,Southern California,,DETROIT PISTONS,https://www.nba.com/stats/player/201959/,2023-24
Jalen Duren,#0,C,6-11,250 lbs,"NOV 18, 2003",19,R,Memphis,Draft Rights Traded from NYK on 07/06/22,DETROIT PISTONS,https://www.nba.com/stats/player/1631105/,2022-23
Cade Cunningham,#2,G,6-7,220 lbs,"SEP 25, 2001",21,1,Oklahoma State,#1 Pick in 2021 Draft,DETROIT PISTONS,https://www.nba.com/stats/player/1630595/,2022-23
Alec Burks,#5,G,6-6,214 lbs,"JUL 20, 1991",31,11,Colorado,,DETROIT PISTONS,https://www.nba.com/stats/player/202692/,2022-23
Hamidou Diallo,#6,G,6-5,202 lbs,"JUL 31, 1998",24,4,Kentucky,,DETROIT PISTONS,https://www.nba.com/stats/player/1628977/,2022-23
Killian Hayes,#7,G,6-5,195 lbs,"JUL 27, 2001",21,2,Ratiopharm Ulm,,DETROIT PISTONS,https://www.nba.com/stats/player/1630165/,2022-23
Jared Rhoden,#8,G,6-6,210 lbs,"AUG 27, 1999",23,R,Seton Hall,,DETROIT PISTONS,https://www.nba.com/stats/player/1631197/,2022-23
Isaiah Livers,#12,F,6-6,232 lbs,"JUL 28, 1998",24,1,Michigan,,DETROIT PISTONS,https://www.nba.com/stats/player/1630587/,2022-23
James Wiseman,#13,C,7-0,240 lbs,"MAR 31, 2001",22,1,Memphis,,DETROIT PISTONS,https://www.nba.com/stats/player/1630164/,2022-23
R.J. Hampton,#14,G,6-4,175 lbs,"FEB 07, 2001",22,2,Capital City Go-Go,,DETROIT PISTONS,https://www.nba.com/stats/player/1630181/,2022-23
Rodney McGruder,#17,G,6-4,205 lbs,"JUL 29, 1991",31,6,Kansas State,,DETROIT PISTONS,https://www.nba.com/stats/player/203585/,2022-23
Cory Joseph,#18,G,6-3,200 lbs,"AUG 20, 1991",31,11,Texas,,DETROIT PISTONS,https://www.nba.com/stats/player/202709/,2022-23
Jaden Ivey,#23,G,6-4,195 lbs,"FEB 13, 2002",21,R,Purdue,#5 Pick in 2022 Draft,DETROIT PISTONS,https://www.nba.com/stats/player/1631093/,2022-23
Buddy Boeheim,#27,F,6-6,205 lbs,"NOV 11, 1999",23,R,Syracuse,,DETROIT PISTONS,https://www.nba.com/stats/player/1631205/,2022-23
Isaiah Stewart,#28,F-C,6-8,250 lbs,"MAY 22, 2001",22,2,Washington,Draft Rights Traded from HOU on 11/24/20,DETROIT PISTONS,https://www.nba.com/stats/player/1630191/,2022-23
Marvin Bagley III,#35,F,6-10,235 lbs,"MAR 14, 1999",24,4,Duke,,DETROIT PISTONS,https://www.nba.com/stats/player/1628963/,2022-23
Bojan Bogdanović,#44,F,6-7,226 lbs,"APR 18, 1989",34,8,Fenerbahce,,DETROIT PISTONS,https://www.nba.com/stats/player/202711/,2022-23
Eugene Omoruyi,#97,F,6-6,235 lbs,"FEB 14, 1997",26,1,Oregon,,DETROIT PISTONS,https://www.nba.com/stats/player/1630647/,2022-23
Cade Cunningham,#2,G,6-6,220 lbs,"SEP 25, 2001",20,R,Oklahoma State,#1 Pick in 2021 Draft,DETROIT PISTONS,https://www.nba.com/stats/player/1630595/,2021-22
Carsen Edwards,#4,G,5-11,200 lbs,"MAR 12, 1998",24,2,Purdue,,DETROIT PISTONS,https://www.nba.com/stats/player/1629035/,2021-22
Frank Jackson,#5,G,6-3,205 lbs,"MAY 04, 1998",24,3,Duke,,DETROIT PISTONS,https://www.nba.com/stats/player/1628402/,2021-22
Hamidou Diallo,#6,G,6-5,202 lbs,"JUL 31, 1998",23,3,Kentucky,,DETROIT PISTONS,https://www.nba.com/stats/player/1628977/,2021-22
Killian Hayes,#7,G,6-5,195 lbs,"JUL 27, 2001",20,1,Ratiopharm Ulm,,DETROIT PISTONS,https://www.nba.com/stats/player/1630165/,2021-22
Jerami Grant,#9,F,6-8,210 lbs,"MAR 12, 1994",28,7,Syracuse,,DETROIT PISTONS,https://www.nba.com/stats/player/203924/,2021-22
Isaiah Livers,#12,F,6-6,232 lbs,"JUL 28, 1998",23,R,Michigan,,DETROIT PISTONS,https://www.nba.com/stats/player/1630587/,2021-22
Kelly Olynyk,#13,F-C,6-11,240 lbs,"APR 19, 1991",31,8,Gonzaga,,DETROIT PISTONS,https://www.nba.com/stats/player/203482/,2021-22
Rodney McGruder,#17,G,6-4,205 lbs,"JUL 29, 1991",30,5,Kansas State,,DETROIT PISTONS,https://www.nba.com/stats/player/203585/,2021-22
Braxton Key,#17,F,6-8,225 lbs,"FEB 14, 1997",25,R,Virginia,,DETROIT PISTONS,https://www.nba.com/stats/player/1630296/,2021-22
Cory Joseph,#18,G,6-3,200 lbs,"AUG 20, 1991",30,10,Texas,,DETROIT PISTONS,https://www.nba.com/stats/player/202709/,2021-22
Jamorko Pickett,#24,F,6-9,206 lbs,"DEC 24, 1997",24,R,Georgetown,,DETROIT PISTONS,https://www.nba.com/stats/player/1630691/,2021-22
Isaiah Stewart,#28,F-C,6-8,250 lbs,"MAY 22, 2001",21,1,Washington,Draft Rights Traded from HOU on 11/24/20,DETROIT PISTONS,https://www.nba.com/stats/player/1630191/,2021-22
Marvin Bagley III,#35,F,6-11,235 lbs,"MAR 14, 1999",23,3,Duke,,DETROIT PISTONS,https://www.nba.com/stats/player/1628963/,2021-22
Saben Lee,#38,G,6-2,183 lbs,"JUN 23, 1999",23,1,Vanderbilt,,DETROIT PISTONS,https://www.nba.com/stats/player/1630240/,2021-22
Saddiq Bey,#41,F,6-7,215 lbs,"APR 09, 1999",23,1,Villanova,,DETROIT PISTONS,https://www.nba.com/stats/player/1630180/,2021-22
Luka Garza,#55,C,6-10,243 lbs,"DEC 27, 1998",23,R,Iowa,,DETROIT PISTONS,https://www.nba.com/stats/player/1630568/,2021-22
Dennis Smith Jr.,#0,G,6-2,205 lbs,"NOV 25, 1997",23,3,North Carolina State,,DETROIT PISTONS,https://www.nba.com/stats/player/1628372/,2020-21
Frank Jackson,#5,G,6-3,205 lbs,"MAY 04, 1998",23,2,Duke,,DETROIT PISTONS,https://www.nba.com/stats/player/1628402/,2020-21
Hamidou Diallo,#6,G,6-5,202 lbs,"JUL 31, 1998",22,2,Kentucky,,DETROIT PISTONS,https://www.nba.com/stats/player/1628977/,2020-21
Killian Hayes,#7,G,6-5,195 lbs,"JUL 27, 2001",19,R,Ratiopharm Ulm,,DETROIT PISTONS,https://www.nba.com/stats/player/1630165/,2020-21
Wayne Ellington,#8,G,6-4,207 lbs,"NOV 29, 1987",33,11,North Carolina,,DETROIT PISTONS,https://www.nba.com/stats/player/201961/,2020-21
Jerami Grant,#9,F,6-8,210 lbs,"MAR 12, 1994",27,6,Syracuse,,DETROIT PISTONS,https://www.nba.com/stats/player/203924/,2020-21
Jahlil Okafor,#13,C-F,6-10,270 lbs,"DEC 15, 1995",25,5,Duke,,DETROIT PISTONS,https://www.nba.com/stats/player/1626143/,2020-21
Rodney McGruder,#17,G,6-4,205 lbs,"JUL 29, 1991",29,4,Kansas State,,DETROIT PISTONS,https://www.nba.com/stats/player/203585/,2020-21
Cory Joseph,#18,G,6-3,200 lbs,"AUG 20, 1991",29,9,Texas,,DETROIT PISTONS,https://www.nba.com/stats/player/202709/,2020-21
Josh Jackson,#20,G-F,6-8,207 lbs,"FEB 10, 1997",24,3,Kansas,,DETROIT PISTONS,https://www.nba.com/stats/player/1628367/,2020-21
Mason Plumlee,#24,F-C,6-11,254 lbs,"MAR 05, 1990",31,7,Duke,,DETROIT PISTONS,https://www.nba.com/stats/player/203486/,2020-21
Tyler Cook,#25,F,6-8,255 lbs,"SEP 23, 1997",23,1,Iowa,,DETROIT PISTONS,https://www.nba.com/stats/player/1629076/,2020-21
Isaiah Stewart,#28,F-C,6-8,250 lbs,"MAY 22, 2001",20,R,Washington,Draft Rights Traded from HOU on 11/24/20,DETROIT PISTONS,https://www.nba.com/stats/player/1630191/,2020-21
Saben Lee,#38,G,6-2,183 lbs,"JUN 23, 1999",22,R,Vanderbilt,,DETROIT PISTONS,https://www.nba.com/stats/player/1630240/,2020-21
Saddiq Bey,#41,F,6-7,215 lbs,"APR 09, 1999",22,R,Villanova,,DETROIT PISTONS,https://www.nba.com/stats/player/1630180/,2020-21
Sekou Doumbouya,#45,F,6-8,230 lbs,"DEC 23, 2000",20,1,,,DETROIT PISTONS,https://www.nba.com/stats/player/1629635/,2020-21
Deividas Sirvydis,#91,F-G,6-8,190 lbs,"JUN 10, 2000",21,R,Lietuvos rytas Vilnius,,DETROIT PISTONS,https://www.nba.com/stats/player/1629686/,2020-21
Tyrese Haliburton,#0,G,6-5,185 lbs,"FEB 29, 2000",24,4,Iowa State,Traded from SAC on 02/08/22,INDIANA PACERS,https://www.nba.com/stats/player/1630169/,2024-25
Bennedict Mathurin,#00,G-F,6-5,210 lbs,"JUN 19, 2002",22,2,Arizona,#6 Pick in 2022 Draft,INDIANA PACERS,https://www.nba.com/stats/player/1631097/,2024-25
Obi Toppin,#1,F,6-9,220 lbs,"MAR 04, 1998",26,4,Dayton,Traded from NYK on 07/07/23,INDIANA PACERS,https://www.nba.com/stats/player/1630167/,2024-25
Andrew Nembhard,#2,G-F,6-4,191 lbs,"JAN 16, 2000",24,2,Gonzaga,#31 Pick in 2022 Draft,INDIANA PACERS,https://www.nba.com/stats/player/1629614/,2024-25
Thomas Bryant,#3,C-F,6-10,248 lbs,"JUL 31, 1997",27,7,Indiana,Traded from MIA on 12/15/24,INDIANA PACERS,https://www.nba.com/stats/player/1628418/,2024-25
Tristen Newton,#4,G,6-5,190 lbs,"APR 26, 2001",23,R,Connecticut,#49 Pick in 2024 Draft,INDIANA PACERS,https://www.nba.com/stats/player/1641803/,2024-25
Jarace Walker,#5,F,6-7,235 lbs,"SEP 04, 2003",21,1,Houston,Draft Rights Traded from WAS on 06/23/23,INDIANA PACERS,https://www.nba.com/stats/player/1641716/,2024-25
Enrique Freeman,#8,F,6-7,206 lbs,"JUL 29, 2000",24,R,Akron,#50 Pick in 2024 Draft,INDIANA PACERS,https://www.nba.com/stats/player/1642402/,2024-25
T.J. McConnell,#9,G,6-1,190 lbs,"MAR 25, 1992",32,9,Arizona,Signed on 07/29/19,INDIANA PACERS,https://www.nba.com/stats/player/204456/,2024-25
Johnny Furphy,#12,G,6-9,200 lbs,"DEC 08, 2004",20,R,Kansas,Draft Rights Traded from SAS on 07/06/24,INDIANA PACERS,https://www.nba.com/stats/player/1642277/,2024-25
James Wiseman,#13,C,6-11,240 lbs,"MAR 31, 2001",23,3,Memphis,Signed on 07/05/24,INDIANA PACERS,https://www.nba.com/stats/player/1630164/,2024-25
James Johnson,#16,F,6-7,240 lbs,"FEB 20, 1987",37,15,Wake Forest,Signed on 09/15/22,INDIANA PACERS,https://www.nba.com/stats/player/201949/,2024-25
Isaiah Jackson,#22,F,6-9,205 lbs,"JAN 10, 2002",22,3,Kentucky,Draft Rights Traded from LAL on 08/06/21,INDIANA PACERS,https://www.nba.com/stats/player/1630543/,2024-25
Aaron Nesmith,#23,G-F,6-6,215 lbs,"OCT 16, 1999",25,4,Vanderbilt,Traded from BOS on 07/09/22,INDIANA PACERS,https://www.nba.com/stats/player/1630174/,2024-25
Ben Sheppard,#26,G,6-6,190 lbs,"JUL 16, 2001",23,1,Belmont,#26 Pick in 2023 Draft,INDIANA PACERS,https://www.nba.com/stats/player/1641767/,2024-25
Quenton Jackson,#29,G,6-5,173 lbs,"SEP 15, 1998",26,2,Texas A&M,Signed on 03/04/24,INDIANA PACERS,https://www.nba.com/stats/player/1631245/,2024-25
Myles Turner,#33,C-F,6-11,250 lbs,"MAR 24, 1996",28,9,Texas,#11 Pick in 2015 Draft,INDIANA PACERS,https://www.nba.com/stats/player/1626167/,2024-25
Pascal Siakam,#43,F,6-8,245 lbs,"APR 02, 1994",30,8,New Mexico State,Traded from TOR on 01/17/24,INDIANA PACERS,https://www.nba.com/stats/player/1627783/,2024-25
Tyrese Haliburton,#0,G,6-5,185 lbs,"FEB 29, 2000",24,3,Iowa State,Traded from SAC on 02/08/22,INDIANA PACERS,https://www.nba.com/stats/player/1630169/,2023-24
Bennedict Mathurin,#00,G-F,6-5,210 lbs,"JUN 19, 2002",22,1,Arizona,#6 Pick in 2022 Draft,INDIANA PACERS,https://www.nba.com/stats/player/1631097/,2023-24
Obi Toppin,#1,F,6-9,220 lbs,"MAR 04, 1998",26,3,Dayton,Traded from NYK on 07/07/23,INDIANA PACERS,https://www.nba.com/stats/player/1630167/,2023-24
Andrew Nembhard,#2,G-F,6-4,191 lbs,"JAN 16, 2000",24,1,Gonzaga,#31 Pick in 2022 Draft,INDIANA PACERS,https://www.nba.com/stats/player/1629614/,2023-24
Jarace Walker,#5,F,6-7,235 lbs,"SEP 04, 2003",20,R,Houston,Draft Rights Traded from WAS on 06/23/23,INDIANA PACERS,https://www.nba.com/stats/player/1641716/,2023-24
T.J. McConnell,#9,G,6-1,190 lbs,"MAR 25, 1992",32,8,Arizona,Signed on 07/29/19,INDIANA PACERS,https://www.nba.com/stats/player/204456/,2023-24
Kendall Brown,#10,G,6-7,205 lbs,"MAY 11, 2003",21,1,Baylor,,INDIANA PACERS,https://www.nba.com/stats/player/1631112/,2023-24
James Johnson,#16,F,6-7,240 lbs,"FEB 20, 1987",37,14,Wake Forest,Signed on 09/15/22,INDIANA PACERS,https://www.nba.com/stats/player/201949/,2023-24
Doug McDermott,#20,F,6-6,225 lbs,"JAN 03, 1992",32,9,Creighton,,INDIANA PACERS,https://www.nba.com/stats/player/203926/,2023-24
Isaiah Wong,#21,G,6-3,185 lbs,"JAN 28, 2001",23,R,Miami,,INDIANA PACERS,https://www.nba.com/stats/player/1631209/,2023-24
Isaiah Jackson,#22,F,6-9,205 lbs,"JAN 10, 2002",22,2,Kentucky,Draft Rights Traded from LAL on 08/06/21,INDIANA PACERS,https://www.nba.com/stats/player/1630543/,2023-24
Aaron Nesmith,#23,G-F,6-6,215 lbs,"OCT 16, 1999",24,3,Vanderbilt,Traded from BOS on 07/09/22,INDIANA PACERS,https://www.nba.com/stats/player/1630174/,2023-24
Jalen Smith,#25,F-C,6-9,215 lbs,"MAR 16, 2000",24,3,Maryland,,INDIANA PACERS,https://www.nba.com/stats/player/1630188/,2023-24
Ben Sheppard,#26,G,6-6,190 lbs,"JUL 16, 2001",22,R,Belmont,#26 Pick in 2023 Draft,INDIANA PACERS,https://www.nba.com/stats/player/1641767/,2023-24
Quenton Jackson,#29,G,6-5,173 lbs,"SEP 15, 1998",25,1,Texas A&M,Signed on 03/04/24,INDIANA PACERS,https://www.nba.com/stats/player/1631245/,2023-24
Myles Turner,#33,C-F,6-11,250 lbs,"MAR 24, 1996",28,8,Texas,#11 Pick in 2015 Draft,INDIANA PACERS,https://www.nba.com/stats/player/1626167/,2023-24
Pascal Siakam,#43,F,6-8,245 lbs,"APR 02, 1994",30,7,New Mexico State,Traded from TOR on 01/17/24,INDIANA PACERS,https://www.nba.com/stats/player/1627783/,2023-24
Oscar Tshiebwe,#44,F-C,6-8,255 lbs,"NOV 27, 1999",24,R,Kentucky,,INDIANA PACERS,https://www.nba.com/stats/player/1631131/,2023-24
Tyrese Haliburton,#0,G,6-5,185 lbs,"FEB 29, 2000",23,2,Iowa State,Traded from SAC on 02/08/22,INDIANA PACERS,https://www.nba.com/stats/player/1630169/,2022-23
Bennedict Mathurin,#00,G-F,6-5,210 lbs,"JUN 19, 2002",21,R,Arizona,#6 Pick in 2022 Draft,INDIANA PACERS,https://www.nba.com/stats/player/1631097/,2022-23
Andrew Nembhard,#2,G-F,6-3,191 lbs,"JAN 16, 2000",23,R,Gonzaga,#31 Pick in 2022 Draft,INDIANA PACERS,https://www.nba.com/stats/player/1629614/,2022-23
Chris Duarte,#3,G,6-5,190 lbs,"JUN 13, 1997",26,1,Oregon,,INDIANA PACERS,https://www.nba.com/stats/player/1630537/,2022-23
George Hill,#7,G,6-4,188 lbs,"MAY 04, 1986",37,14,Indiana-Purdue Indianapolis,,INDIANA PACERS,https://www.nba.com/stats/player/201588/,2022-23
T.J. McConnell,#9,G,6-1,190 lbs,"MAR 25, 1992",31,7,Arizona,Signed on 07/29/19,INDIANA PACERS,https://www.nba.com/stats/player/204456/,2022-23
Kendall Brown,#10,G,6-7,205 lbs,"MAY 11, 2003",20,R,Baylor,,INDIANA PACERS,https://www.nba.com/stats/player/1631112/,2022-23
Oshae Brissett,#12,F-G,6-7,210 lbs,"JUN 20, 1998",25,3,Syracuse,,INDIANA PACERS,https://www.nba.com/stats/player/1629052/,2022-23
Jordan Nwora,#13,F,6-9,225 lbs,"SEP 09, 1998",24,2,Louisville,,INDIANA PACERS,https://www.nba.com/stats/player/1629670/,2022-23
James Johnson,#16,F,6-7,240 lbs,"FEB 20, 1987",36,13,Wake Forest,Signed on 09/15/22,INDIANA PACERS,https://www.nba.com/stats/player/201949/,2022-23
Isaiah Jackson,#22,F,6-9,205 lbs,"JAN 10, 2002",21,1,Kentucky,Draft Rights Traded from LAL on 08/06/21,INDIANA PACERS,https://www.nba.com/stats/player/1630543/,2022-23
Aaron Nesmith,#23,G-F,6-5,215 lbs,"OCT 16, 1999",23,2,Vanderbilt,Traded from BOS on 07/09/22,INDIANA PACERS,https://www.nba.com/stats/player/1630174/,2022-23
Buddy Hield,#24,G,6-4,220 lbs,"DEC 17, 1992",30,6,Oklahoma,,INDIANA PACERS,https://www.nba.com/stats/player/1627741/,2022-23
Jalen Smith,#25,F-C,6-9,215 lbs,"MAR 16, 2000",23,2,Maryland,,INDIANA PACERS,https://www.nba.com/stats/player/1630188/,2022-23
Daniel Theis,#27,F-C,6-8,245 lbs,"APR 04, 1992",31,5,Brose Bamberg,,INDIANA PACERS,https://www.nba.com/stats/player/1628464/,2022-23
Gabe York,#32,G,6-3,190 lbs,"AUG 02, 1993",29,1,Arizona,,INDIANA PACERS,https://www.nba.com/stats/player/1628221/,2022-23
Myles Turner,#33,C-F,6-11,250 lbs,"MAR 24, 1996",27,7,Texas,#11 Pick in 2015 Draft,INDIANA PACERS,https://www.nba.com/stats/player/1626167/,2022-23
Gabe York,#,G,6-3,190 lbs,"AUG 02, 1993",28,R,Arizona,,INDIANA PACERS,https://www.nba.com/stats/player/1628221/,2021-22
Tyrese Haliburton,#0,G,6-5,185 lbs,"FEB 29, 2000",22,1,Iowa State,Traded from SAC on 02/08/22,INDIANA PACERS,https://www.nba.com/stats/player/1630169/,2021-22
T.J. Warren,#1,F,6-8,220 lbs,"SEP 05, 1993",28,7,North Carolina State,,INDIANA PACERS,https://www.nba.com/stats/player/203933/,2021-22
Chris Duarte,#3,G,6-5,190 lbs,"JUN 13, 1997",25,R,Oregon,,INDIANA PACERS,https://www.nba.com/stats/player/1630537/,2021-22
Duane Washington Jr.,#4,G,6-3,197 lbs,"MAR 24, 2000",22,R,Ohio State,,INDIANA PACERS,https://www.nba.com/stats/player/1630613/,2021-22
Lance Stephenson,#6,F,6-5,210 lbs,"SEP 05, 1990",31,9,Cincinnati,,INDIANA PACERS,https://www.nba.com/stats/player/202362/,2021-22
Malcolm Brogdon,#7,G,6-5,229 lbs,"DEC 11, 1992",29,5,Virginia,,INDIANA PACERS,https://www.nba.com/stats/player/1627763/,2021-22
T.J. McConnell,#9,G,6-1,190 lbs,"MAR 25, 1992",30,6,Arizona,Signed on 07/29/19,INDIANA PACERS,https://www.nba.com/stats/player/204456/,2021-22
Oshae Brissett,#12,F-G,6-7,210 lbs,"JUN 20, 1998",24,2,Syracuse,,INDIANA PACERS,https://www.nba.com/stats/player/1629052/,2021-22
Nate Hinton,#14,G-F,6-5,210 lbs,"JUN 08, 1999",23,1,Houston,,INDIANA PACERS,https://www.nba.com/stats/player/1630207/,2021-22
Isaiah Jackson,#23,F,6-10,205 lbs,"JAN 10, 2002",20,R,Kentucky,Draft Rights Traded from LAL on 08/06/21,INDIANA PACERS,https://www.nba.com/stats/player/1630543/,2021-22
Buddy Hield,#24,G,6-4,220 lbs,"DEC 17, 1992",29,5,Oklahoma,,INDIANA PACERS,https://www.nba.com/stats/player/1627741/,2021-22
Jalen Smith,#25,F-C,6-10,215 lbs,"MAR 16, 2000",22,1,Maryland,,INDIANA PACERS,https://www.nba.com/stats/player/1630188/,2021-22
Terry Taylor,#32,F,6-5,230 lbs,"SEP 23, 1999",22,R,Austin Peay,,INDIANA PACERS,https://www.nba.com/stats/player/1630678/,2021-22
